	Data	NWTMean	NWTMeanDev	NWTHetPer	NWTHetPerDev	NWTHtRCon	NpatSdelMean	NpatSdelMeanDev	NpatSdelHetPer	NpatSdelHetPerDev	NpatSdelHtRCon	NhetNdelMean	NhetNdelMeanDev	NhetNdelHetPer	NhetNdelHetPerDev	NhetNdelHtRCon	NpatAdelHetPer	NpatAdelHetPerDev	NpatAdelHtRCon	NpatAhetNdelHetPer	NpatAhetNdelHetPerDev	NpatAhetNdelHtRCon	NhetFdelHtRCon	NpatXpatSdelMean	NpatXpatSdelMeanDev	NpatXpatSdelHetPer	NpatXpatSdelHetPerDev	NpatXpatSdelHtRCon	NpatApatSdelMean	NpatApatSdelMeanDev	NpatApatSdelHetPer	NpatApatSdelHetPerDev	NpatApatSdelHtRCon	NpatXdelMean	NpatXdelMeanDev	NpatXdelHetPer	NpatXdelHetPerDev	NpatXdelHtRCon
40.0		12.6	0.6	7.9	0.5	44.0	5.7	0.2	15.9	0.7	47.6	5.5	0.2	15.6	0.7	58.6	1.9	0.2	53.4	2.1	0.4	55.9	55.9	4.5	0.2	18.9	1.1	48.3	8.3	0.3	11.5	0.4	54.1	11.8	0.5	8.7	0.4	43.3
41.0		12.9	0.6	7.8	0.5	44.3	5.7	0.2	15.7	0.7	48.6	5.6	0.2	15.6	0.8	58.5	1.9	0.2	53.5	2.1	0.3	56.0	56.0	4.5	0.1	18.9	1.0	48.5	8.3	0.3	11.5	0.4	54.5	11.9	0.5	8.6	0.4	43.5
42.0		13.0	0.6	7.7	0.4	44.6	5.7	0.2	15.7	0.6	48.9	5.6	0.2	15.5	0.9	58.7	1.8	0.2	53.6	2.1	0.3	56.0	56.0	4.5	0.1	19.0	1.1	47.8	8.2	0.3	11.6	0.4	54.3	11.9	0.5	8.6	0.3	43.8
43.0		13.1	0.6	7.6	0.4	44.8	5.7	0.2	15.8	0.7	48.4	5.6	0.2	15.6	0.8	58.6	1.8	0.2	53.5	2.1	0.3	55.9	55.9	4.5	0.1	19.0	1.1	47.1	8.1	0.3	11.7	0.4	53.4	12.0	0.5	8.6	0.3	43.8
44.0		13.2	0.5	7.6	0.4	44.8	5.6	0.2	16.0	0.7	47.1	5.5	0.2	15.6	0.8	58.5	1.8	0.2	53.5	2.1	0.3	55.8	55.8	4.4	0.1	19.2	1.1	45.9	8.0	0.3	11.9	0.3	52.5	12.0	0.5	8.5	0.3	43.9
45.0		13.1	0.5	7.6	0.3	44.8	5.5	0.2	16.2	0.6	45.9	5.5	0.2	15.8	0.8	58.5	1.8	0.2	53.4	2.1	0.3	55.8	55.8	4.3	0.1	19.5	1.3	43.9	7.8	0.2	12.1	0.4	51.4	11.9	0.4	8.6	0.3	44.0
46.0		13.0	0.5	7.7	0.3	44.8	5.4	0.2	16.4	0.7	44.8	5.4	0.2	16.0	0.9	58.4	1.8	0.1	53.4	2.1	0.3	55.8	55.8	4.3	0.1	19.6	1.2	42.7	7.6	0.2	12.4	0.4	50.0	11.8	0.4	8.6	0.4	44.0
47.0		12.9	0.5	7.7	0.3	44.7	5.3	0.2	16.7	0.6	43.2	5.3	0.2	16.4	1.0	58.1	1.9	0.1	53.4	2.1	0.3	55.8	55.8	4.3	0.1	19.8	1.0	41.8	7.4	0.2	12.6	0.4	48.7	11.6	0.4	8.8	0.4	43.8
48.0		12.6	0.5	7.9	0.3	44.5	5.2	0.1	17.0	0.6	41.6	5.2	0.2	16.7	0.9	58.1	1.9	0.1	53.4	2.2	0.3	55.8	55.8	4.2	0.1	20.1	0.9	40.4	7.2	0.2	12.9	0.4	47.0	11.4	0.4	8.9	0.3	43.4
49.0		12.5	0.5	8.0	0.3	44.2	5.1	0.1	17.1	0.6	40.2	5.1	0.2	16.9	0.8	58.1	1.9	0.1	53.3	2.2	0.3	55.8	55.8	4.2	0.1	20.2	0.9	39.0	7.0	0.2	13.2	0.2	45.4	11.2	0.4	9.0	0.4	43.2
50.0		12.3	0.5	8.1	0.2	43.9	5.1	0.1	17.3	0.6	38.9	5.0	0.2	17.3	0.8	57.9	1.9	0.1	53.4	2.2	0.4	55.8	55.8	4.2	0.1	20.2	0.8	38.2	7.0	0.2	13.2	0.3	44.5	11.0	0.4	9.1	0.4	42.9
51.0		12.0	0.4	8.2	0.3	43.6	5.0	0.1	17.4	0.6	37.7	4.9	0.2	17.5	0.8	57.8	1.9	0.1	53.3	2.2	0.3	55.9	55.9	4.2	0.1	20.2	0.9	37.7	6.9	0.2	13.3	0.3	43.7	10.7	0.4	9.4	0.3	42.5
52.0		11.8	0.4	8.4	0.4	43.3	5.0	0.1	17.4	0.6	37.4	4.8	0.2	17.9	0.8	57.6	1.9	0.2	53.3	2.2	0.3	55.8	55.8	4.2	0.1	20.1	0.8	37.3	6.8	0.2	13.5	0.4	42.8	10.5	0.4	9.5	0.3	42.0
53.0		11.7	0.4	8.5	0.4	43.0	5.1	0.1	17.4	0.7	37.4	4.6	0.2	18.2	0.8	57.4	1.9	0.2	53.3	2.2	0.3	55.7	55.7	4.3	0.1	19.9	0.8	37.3	6.8	0.2	13.5	0.3	42.3	10.4	0.3	9.5	0.3	41.8
54.0		11.7	0.4	8.5	0.4	42.8	5.1	0.1	17.1	0.7	37.7	4.6	0.2	18.3	0.7	57.3	1.8	0.2	53.3	2.1	0.3	55.7	55.7	4.3	0.1	19.8	0.8	37.6	6.9	0.2	13.4	0.2	42.3	10.4	0.3	9.5	0.2	41.6
55.0		11.6	0.4	8.6	0.4	42.7	5.2	0.1	16.9	0.7	38.5	4.6	0.2	18.5	0.7	57.2	1.8	0.2	53.3	2.1	0.3	55.8	55.8	4.4	0.1	19.4	0.7	38.7	6.9	0.2	13.3	0.3	42.4	10.4	0.3	9.5	0.3	41.5
56.0		11.7	0.4	8.5	0.4	42.7	5.3	0.1	16.6	0.7	39.4	4.6	0.1	18.4	0.6	57.3	1.8	0.2	53.3	2.0	0.3	55.7	55.7	4.5	0.1	19.1	0.7	40.1	7.1	0.2	13.1	0.3	42.9	10.4	0.3	9.5	0.3	41.4
57.0		11.9	0.4	8.4	0.4	42.7	5.5	0.1	16.3	0.6	40.5	4.6	0.1	18.3	0.6	57.2	1.8	0.2	53.4	2.0	0.3	55.7	55.7	4.6	0.1	18.7	0.7	41.5	7.2	0.2	12.8	0.3	43.7	10.4	0.3	9.4	0.3	41.6
58.0		12.0	0.4	8.2	0.4	42.9	5.6	0.2	15.9	0.6	42.0	4.7	0.1	18.2	0.6	57.2	1.7	0.2	53.4	2.0	0.3	55.7	55.7	4.7	0.1	18.3	0.7	42.9	7.4	0.2	12.6	0.3	44.8	10.6	0.3	9.3	0.3	41.7
